,Cleaned_English_Tweets,overall_sentiment
0,womens ashes live streaming broadcast tv channel schedule squads,neutral
1,playing book ticket,neutral
3,adipurush vs hoorain vs kerala story controversy learnt,neutral
5,story told learn hotstar india graphic india goosebumps gaurav banerjee sir nikhil madhok sir sharad devarajan sir,neutral
8,milord compatriots backstab ie end exposing factors promoting magnum opus faithfuladaptation merits incendiary remark,positive
9,show gods cooler superheroes actor amidst criticism,negative
11,happy colossal disaster remembered film god rama fcked hindus considered biggest bhakts made rss lickers om raut manoj shukla disaster dream leftists,negative
12,happy colossal disaster remembered film god rama fcked hindus considered biggest bhakts made rss lickers om raut manoj shukla disaster dream leftists,negative
13,happy colossal disaster remembered film god rama fcked hindus considered biggest bhakts made rss lickers om raut manoj shukla disaster dream leftists,negative
14,graphics playback voice artists story line,neutral
15,happy colossal disaster remembered film god rama fcked hindus considered biggest bhakts made rss lickers om raut manoj shukla disaster dream leftists,negative
16,happy colossal disaster remembered film god rama fcked hindus considered biggest bhakts made rss lickers om raut manoj shukla disaster dream leftists,negative
18,danger court conducting archetypical whatsapp chatgroup constitutionallymandated judicature,negative
19,give point acting,neutral
20,yep unprofessional phrased,negative
21,th highest day top hindi openers,neutral
22,adipurush prabhas epic amasses staggering collections,neutral
27,top hindi openers,neutral
28,hotstar s coming,neutral
30,box office adipurush make telugu states,neutral
32,beautiful pushpak viman waiting shivaji temple flew palace chose bat ride ravan absolutely spoiled,positive
33,dear prabhas fans time shame accept truth box office disaster allahabad hc condemned blasphemous portrayal stop living denial spreading lies,negative
34,dear prabhas fans time shame accept truth box office disaster allahabad hc condemned blasphemous portrayal stop living denial spreading lies,negative
36,dear prabhas fans time shame accept truth box office disaster allahabad hc condemned blasphemous portrayal stop living denial spreading lies,negative
37,talent retweet support,positive
38,dear prabhas fans time shame accept truth box office disaster allahabad hc condemned blasphemous portrayal stop living denial spreading lies,negative
39,adipurush row make documentary quran allahabad high court,neutral
40,hypocrite adipurush writer manoj muntashir spoke pure sanskrit forgot writing dialogues adipurush comment agree,positive
42,teaser target watch,negative
45,garu believing madness darling screen denying screen presence star pulls movie upto weeks negativity agree sir,negative
